Logo,Team,Offense,Defense,Pace,Poss,Color,Text
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/71.png"" height=""52""></img>",Bradley,106.8,98.5,65.3,65.3,#A50000,white
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2181.png"" height=""52""></img>",Drake,104,99.1,66.3,66.3,#003B73,white
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/339.png"" height=""52""></img>",Evansville,100.6,105.4,69.5,69.5,#52237F,#F36F21
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png"" height=""52""></img>",Illinois St.,102.8,104.7,64.8,64.8,#AC1E2D,white
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/282.png"" height=""52""></img>",Indiana St.,100.9,102.9,70.3,70.3,#0142BC,white
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png"" height=""52""></img>",Missouri St.,97.4,104.1,62.1,62.1,#720000,white
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/93.png"" height=""52""></img>",Murray St.,107.1,104.2,66.6,66.6,#FFCC00,blue
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/79.png"" height=""52""></img>",Southern Ill.,103,100.1,63.7,67.6,#AC1E2D,#FFB500
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/82.png"" height=""52""></img>",UIC,104.2,104.4,68.9,63.7,#5E0009,white
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2460.png"" height=""52""></img>",UNI,107.1,101.2,67.6,68.9,#500778,#091F40
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png"" height=""52""></img>",Valparaiso,101.6,107.8,67.8,67.8,#381E0E,#FFCC00