Logo,Opponent,Location,Offense,Defense,Pace
"<img src=""https://seeklogo.com/images/M/maryville-saints-logo-874E1E82EB-seeklogo.com.png"" height=""52""></img>",Maryville,Home,75.1,122.5,70
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/231.png"" height=""52""></img>",Furman,Home,103.7,104.8,68.9
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/288.png"" height=""52""></img>",Lipscomb,Away,110,106.8,69.3
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png"" height=""52""></img>",Air Force,Away,102.5,108.6,61.9
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/198.png"" height=""52""></img>",Oral Roberts,Home,103.1,107.6,67.7
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2351.png"" height=""52""></img>",Loyola Marymount,Neutral,108.2,106.2,64.7
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png"" height=""52""></img>",Tulane,Neutral,102.8,104.3,72.8
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png"" height=""52""></img>",Gardner-Webb,Home,104.8,104.6,67.2
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png"" height=""52""></img>",Illinois State,Home,102.8,104.7,64.8
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png"" height=""52""></img>",Middle Tennessee,Home,103.4,105.4,66.8
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/257.png"" height=""52""></img>",Richmond,Away,103.4,101.5,66.8
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/300.png"" height=""52""></img>",UC Irvine,Home,107.3,98.5,68.6
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2460.png"" height=""52""></img>",Northern Iowa,Away,107.1,101.2,67.6
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png"" height=""52""></img>",Valparaiso,Home,101.6,107.8,67.8
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/79.png"" height=""52""></img>",Southern Illinois,Away,103,100.1,63.7
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2181.png"" height=""52""></img>",Drake,Home,104,99.1,66.3
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/282.png"" height=""52""></img>",Indiana State,Away,100.9,102.9,70.3
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2460.png"" height=""52""></img>",Northern Iowa,Home,107.1,101.2,67.6
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/71.png"" height=""52""></img>",Bradley,Away,106.8,98.5,65.3
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png"" height=""52""></img>",Illinois State,Away,102.8,104.7,64.8
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/82.png"" height=""52""></img>",UIC,Home,104.2,104.4,68.9
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/282.png"" height=""52""></img>",Indiana State,Home,100.9,102.9,70.3
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png"" height=""52""></img>",Missouri State,Away,97.4,104.1,62.1
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/93.png"" height=""52""></img>",Murray State,Home,107.1,104.2,66.6
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png"" height=""52""></img>",Valparaiso,Away,101.6,107.8,67.8
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/79.png"" height=""52""></img>",Southern Illinois,Home,103,100.1,63.7
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/82.png"" height=""52""></img>",UIC,Away,104.2,104.4,68.9
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2181.png"" height=""52""></img>",Drake,Away,104,99.1,66.3
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png"" height=""52""></img>",Missouri State,Home,97.4,104.1,62.1
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/93.png"" height=""52""></img>",Murray State,Away,107.1,104.2,66.6
"<img src=""https://a.espncdn.com/i/teamlogos/ncaa/500/339.png"" height=""52""></img>",Evansville,Home,100.6,105.4,69.5