Team,PPP,eFG,ORebRate,TovRate,FTr,ThreeRate,BlkRate,AstRate,AstTo,dPPP,deFG,DRebRate,dTovRate,dFTr,dThreeRate,dBlkRate,dAstRate
Radford,1.05,51.3,30.9,18.3,27.4,31.90376569,8.333333333,45.87155963,0.99,1.019,52.2,27.9,20.2,32.3,37.30337079,7.296466974,48.03921569
Rhode Island,0.954,44.2,31.6,20.4,37,31.33144476,10.00841043,49.85632184,0.79,1.019,49.1,29.5,17.3,31.7,34.74204171,13.61386139,51.19798235
Rice,1.051,53,24.1,18,32.5,42.13938412,6.270358306,54.25531915,1.11,1.101,54.7,26.6,16.1,25.7,37.75975672,7.936507937,46.01487779
Richmond,1.019,51.2,21,17.1,33,44.10943607,6.896551724,51.14503817,1.06,1.003,49.6,25.4,17.1,26.2,40.25356577,9.390609391,49.81549815
Rider,1.057,49.5,34,17.9,29.3,25.79104478,6.873614191,43.32892999,0.96,1.035,50.3,28.4,16.6,38.6,42.69377382,7.723250201,52.1609538
Robert Morris,1.004,49.2,29.7,19.5,26.9,36.56338028,11.16794544,53.95590143,1.02,1.008,49.6,28.5,19.1,31.1,31.8815331,7.904085258,44.50331126
Rutgers,1.023,47.9,32.1,17.1,28.2,30.21868787,12.37016053,59.05420992,1.32,0.92,46.6,28,21.7,27.4,42.91105121,9.472934473,56.19946092
SIU Edwardsville,1.025,50.8,32.9,20.8,27.5,37.48558247,10.60606061,47.96195652,0.9,1.072,52.2,24,14.5,25.8,36.1774744,8.210332103,46.68435013
SMU,0.988,48.4,28.8,18.8,27.6,33.66336634,9,53.82716049,1.06,1.012,50.2,30.8,19.4,26.5,37.10691824,11.94029851,57.29166667
Sacramento St.,1.032,50.2,28.9,18.2,34.2,35.53113553,6.958762887,55.95075239,1.02,1.036,50.5,30.7,18.9,32.8,30.71428571,7.670454545,44.84076433
Sacred Heart,1.074,52.1,29.7,17.3,29.1,36.14270941,8.580858086,51.14595899,1,1.026,48.3,26.5,15.3,32.7,36.90786049,8.016194332,53.31753555
Saint Joseph's,1.094,52,32.5,16.4,32,45.9375,9.613656783,48.77750611,0.95,0.935,47.1,21.9,19.2,29.9,42.12168487,11.56069364,58.87290168
Saint Louis,0.964,43.9,36.4,19.6,28.4,32.54840398,10.72635135,58.51183766,1.34,1.038,49.5,30.7,19.8,51.4,38.0104712,8.456167572,53.19148936
Saint Mary's,1.029,50.7,30.5,19.9,32.3,36.71421025,10,49.0104773,1.17,0.938,49,24.9,23.1,37.6,32.03883495,10.35058431,37.34610123
Saint Peter's,1.104,53.5,28.2,17.9,41,35.26734926,10,46.62756598,0.83,1.034,51.9,27,19.8,37.6,35.74297189,12.03866432,49.69135802
Sam Houston St.,1.076,51.1,28.2,16,30.9,36.96048632,7.5,49.09596662,0.9,1.152,58.2,29.7,17.3,33.4,46.34473508,8.775313404,56.30114566
Samford,1.055,49.3,31.6,17.3,33.2,45.62300319,8.468677494,45.05649718,0.91,0.949,46.5,26.1,19.1,30.2,44.42295293,7.755581669,57.6070901
San Diego,1.068,53.6,28.6,19.6,32.2,36.42572567,4.929577465,45.29262087,1.09,1.038,49.9,26.5,17.6,38.1,41.66666667,7.788719785,60.44864227
San Diego St.,1.052,50.2,34.7,18.7,27.2,33.92857143,11.72248804,50.26288118,1.09,1.04,48.4,24.6,13.2,28.6,39.97127812,7.9002079,46.60421546
San Francisco,1.071,52.4,30.2,17.4,30.6,49.23964342,6.628477905,48.88366627,0.91,1.026,50.8,24.4,16.7,25.4,34.96540713,8.574380165,45.15738499
San Jose St.,0.999,46.3,29.9,16.9,32.4,40.93047569,11.81744091,48.85679904,1.01,0.994,48.8,26.6,17.8,33.3,35.28481013,7.699115044,51.12219451
Santa Clara,1.006,49,30.5,20.1,40.1,36.29402757,9.725685786,49.27211646,1.1,0.97,47.6,30,21.1,30.9,38.84087443,6.730769231,50.75493612
Seattle,1.02,49.3,30.5,19.5,34.5,44.67032967,8.377425044,48.05013928,0.97,0.997,49.7,26.7,18.5,33,34.60207612,10.52631579,51.8024032
Seton Hall,1.03,48.5,30.6,18.5,40.3,32.56351039,11.93895871,51.38705416,0.89,1.012,49,29.4,19.2,34.6,37.34533183,12.07191781,54.65587045
Siena,0.978,47.4,28.1,18,33,34.42622951,10.48895899,53.13315927,0.97,1.054,51.8,30.5,18.7,32.8,28.11791383,8.706896552,42.87515763
South Alabama,1.055,52.8,20.9,14.6,22.3,37.46715712,10.21307862,41.72335601,1.15,0.986,46.6,28.4,16.1,28.3,28.7434555,8.151260504,41.1837238
South Carolina,0.975,46.9,32.7,19.9,26.8,40.8992416,7.094594595,47.58064516,0.84,1.1,52.6,32.5,15.9,29.4,36.27556512,10.26581118,54.39814815
South Carolina St.,0.974,46.9,34.2,20.9,29.2,34.01360544,8.584474886,51.69385194,0.89,1.142,57.7,34.5,21,43.5,36.70520231,10.38858049,58.7628866
South Dakota,1.019,50.1,24.8,17.3,28.1,40.18518519,4.391217565,50.72674419,1.02,1.117,52.7,27.1,14.4,31.8,40.21479714,11.55830753,47.50656168
South Dakota St.,1.038,51.7,21.5,17.1,28.1,38.22682786,8.272058824,41.81585678,0.9,1.03,50.9,26,17.3,23.1,40.31815688,9.226467847,49.00744417
South Florida,1.032,50.8,33,19.6,30.7,37.11721225,8.781362007,50.82938389,0.98,1.03,49.8,27.8,18.7,37.1,38.61386139,8.144416457,54.91698595
Southeast Missouri St.,1.025,50.1,25,17.3,38.2,39.98054475,8.359375,51.4541387,1.04,1.031,51.3,28.3,19,44.1,35.35353535,7.617504052,50.55928412
Southeastern Louisiana,1.06,50.9,27.6,16.9,32.1,34.1183228,4.995004995,50.06418485,1.11,1.075,54.2,29.9,19.8,33.4,40.76923077,7.149084568,55.03184713
Southern,0.957,48.5,24.4,20.6,34.5,40,7.327141383,56.32823366,0.91,0.985,51.4,28.6,23,42.9,40.36923077,11.56462585,60.1659751
Southern Illinois,1.002,51.7,22.8,19.3,30.6,46.53405666,6.073943662,59.20873124,1.09,0.953,47.6,27.3,19.6,29.8,34.0684852,10.7102593,48.75690608
Southern Indiana,1.046,50.2,32.1,18.2,33.5,42.56830601,6.356736243,46.14395887,0.92,1.073,51.7,25.9,16.6,39.8,39.52954676,12.17887726,48.71794872
Southern Miss,1.058,50.9,30.8,18,32.2,37.7739331,7.289719626,56.18556701,1.18,0.984,47.8,29.4,19.9,30.2,38.00695249,6.858202039,52.36111111
Southern Utah,1.063,52,27.9,18.6,39.5,38.19938962,8.58662614,43.53205849,0.85,1.035,51.5,26.1,17.5,31.4,35.14046328,9.711934156,47.76444929
St. Bonaventure,0.994,49.2,27.5,18.8,29.5,36.23188406,10.40462428,49.41482445,0.94,1.007,48.6,29.4,19.4,40.9,39.40455342,7.692307692,56.32653061
St. Francis NY,0.944,45.9,30.9,21.2,31.1,33.0754352,11.24889283,51.21163166,0.8,1.025,50.5,31.8,19.6,31.6,27.39549839,8.285163776,54.20827389
St. Francis PA,1.025,51.9,25.3,18.3,32.8,35.78038248,5.467372134,52.17391304,1.05,1.089,51.9,29,14.7,29.9,35.12585812,7.877041306,50.37313433
St. John's,1.032,49.4,34,18.7,27.7,27.00324224,9.95951417,51.54639175,1.08,1.004,50.2,27.6,19.7,29.6,39.37162494,6.852791878,57.51412429
St. Thomas,1.09,51.8,23.9,15.1,30.7,44.9374289,6.109613657,49.80595084,1.23,1.061,51.9,28.7,17.3,31,35.66473988,11.7768595,45.84382872
Stanford,1.066,52.4,31.1,18.9,29.4,39.71937399,9.842154132,58.4725537,1.19,1.036,51.5,26.4,18.3,28.6,40.79164376,8.057296329,51.48883375
Stephen F. Austin,1.033,51.5,31.6,21.3,38.9,28.70201097,7.646474677,53.11258278,0.91,1.009,51.4,32.2,23.8,41.8,36.82559598,8.461538462,59.30555556
Stetson,1.119,53.5,29.4,15.9,25.8,43.80841121,8.223062382,48.96640827,1.24,1.12,52.9,28.1,14.3,30,37.72807534,7.38045738,51.33757962
Stonehill,0.964,50.9,19.1,19.7,32.2,41.25874126,8.133971292,51.9650655,0.89,1.026,50.2,31.4,19.8,27.3,40.79320113,9.523809524,54.79632063
Stony Brook,0.945,47.5,21.9,19.6,29.4,44.35582822,7.32421875,52.19364599,0.87,1.07,50.3,27.4,14,26.2,43.79802415,7.607497244,53.64916773
Syracuse,1.078,51.5,30,16.9,30.6,29.04938927,15.70731707,52.58323766,1.21,1.063,51.2,33.7,18.7,21.7,48.31064044,6.511976048,72.73795535
TCU,0.993,47.6,26,18.3,47.6,29.88721805,12.53776435,58.5492228,1.36,1.032,53.3,30.1,24.2,46.2,35.0343474,10.32171582,55.10907003
Tarleton St.,1.056,50,32.2,16.7,34.1,24.52350699,9.048723898,48.6090776,0.89,0.963,48.1,30.5,21.6,30.1,42.49499666,9.259259259,56.66178624
Temple,1.017,49.7,28.7,19.8,34.6,43.57384442,10.26463512,58.35543767,1.01,1.027,48.7,29,16.5,31.5,33.70547581,9.290709291,51.72839506
Tennessee,1.075,49.9,36.4,18.1,30.7,40.05722461,11.78603808,66.18942731,1.39,0.879,42.8,26.9,22.2,33.8,41.79419525,8.273667462,50.35360679
Tennessee Martin,1.04,50.4,27,16.8,36.1,36.4416476,8.988764045,44.74358974,0.97,1.051,49.6,29,16.8,34,41.31868132,9.9909991,54.60358056
Tennessee St.,1.039,50.9,26.9,17.3,35.1,40.80904224,8.262108262,48.84353741,1.02,1.043,49.9,28.2,18.5,42.4,34.47417548,9.949748744,48.30508475
Tennessee Tech,1.021,51.4,23.9,17.8,29.9,42.52873563,6.440071556,54.02906209,1.09,1.065,51.7,30.3,18,25.8,39.17301415,10,56.88405797
Texas,1.101,53.3,28.3,16.3,30.5,34.51288772,9.777138749,56.6943675,1.4,0.955,48.1,29,22.1,33.7,34.75609756,8.005336891,46.46799117
Texas A&M,1.086,48.8,36.7,18.3,45.1,34.47204969,7.85440613,52.5748503,1.02,0.989,48.2,30.4,20.9,34.7,45.73804574,11.05845182,59.00383142
Texas A&M Commerce,1.034,52.4,26.5,18.9,28.3,45.58985667,7.910576096,54.09035409,1.07,1.085,52.8,29.9,17.7,37.9,34.91885842,7.092198582,49.94011976
Texas A&M Corpus Chris,1.094,50.5,32.8,17.7,34.8,34.50479233,4.719764012,54.69879518,1.16,1.029,52.6,27.8,20.4,38.2,41.4507772,8.780487805,56.36822194
Texas Southern,0.939,46.1,29.2,20.3,34.3,28.07197943,7.961007311,44.81074481,0.76,1.017,49.6,27.6,18.7,38.8,35.34663866,7.934238742,47.53309266
Texas St.,1.017,48.2,31.6,17.9,32.5,25.45977011,10.37649219,40.18205462,0.84,1.041,50.9,28.5,18.6,41.7,33.19018405,8.095605243,47.33242134
Texas Tech,1.055,52.3,32.1,19.9,34.8,36.79558011,8.691588785,49.69915764,0.94,1.003,48.9,30.1,19.9,28.4,42.84188034,10.22727273,54.52229299
The Citadel,0.98,49.3,20.8,18.2,28.9,38.69641809,7.846889952,46.72131148,0.9,1.1,52.4,31.7,16.9,33.9,41.4893617,10.24904215,51.85185185
Toledo,1.202,56.3,29.8,13.6,34.4,35.43876567,7.650273224,48.8258317,1.5,1.084,52.8,31,18.4,27.5,37.90596219,8.812546677,48.47207587
Towson,1.082,51.1,35.7,18.4,29.8,34.49531738,10.19855596,53.60465116,1.14,1.004,48.6,26.7,17.7,29.5,39.94579946,7.386814932,50.64599483
Troy,1.026,49.4,30.3,18.7,32.5,40.85401039,6.616257089,52.14477212,1.01,0.99,48.6,30.1,21.1,34.6,35.83990297,8.585365854,46.09929078
Tulane,1.062,52.4,19.3,15.1,35.4,38.06727176,11.38353765,56.32984901,1.38,1.026,50.4,30.5,19.3,29.6,42.00101574,12.4137931,62.4852071
Tulsa,0.94,47.9,24.8,19.1,26.7,42.41200231,4.090909091,48.67132867,0.87,1.122,53.6,33,17.1,27.8,39.62678375,11.12224449,57.40740741
UAB,1.105,50.3,35.8,17.3,35.7,31.53717627,11.11883252,49.01777362,1.1,0.977,47.3,29.3,19.3,28.9,38.10752688,8.785845027,48.54166667
UC Davis,1.027,49.8,32.2,20.6,42.8,35.01184834,6.523534269,47.84366577,0.81,1.003,50.7,28.6,20.8,31.5,30.40229885,9.480401094,45.1653944
UC Irvine,1.044,51.5,27.4,17.5,29.3,32.19638243,5.964052288,52.38636364,1.14,0.973,45.8,27,17.5,36.9,35.47706906,8.307926829,50.65789474
UC Riverside,1.046,50.5,31.6,18,26.2,37.65182186,4.664031621,49.19168591,1.05,1.03,51.3,23,17.3,38,29.17133259,8.36038961,45.28985507
UC San Diego,0.984,49.6,23.2,17.9,26.1,39.22061596,5.78898226,47.37609329,0.95,1.079,51.8,29.3,16.5,27.9,35.55956679,9.307135471,56.45805593
UC Santa Barbara,1.091,54.1,26.2,17,34.4,29.15484969,6.546644845,52.89351852,1.25,1.01,50.1,26.1,18.5,29.2,31.46382501,6.004803843,48.55708908
UCF,1.059,50.3,33.6,19.6,28.9,42.17171717,11.36563877,55.30660377,1.04,0.962,48,30.7,21.9,33.4,38.81401617,8.471615721,53.40179718
UCLA,1.103,51.1,33,14.9,27.4,28.99777283,11.63934426,52.08131655,1.43,0.904,46.8,28.2,23.3,27.5,38.75502008,6.210790464,50.86206897
UMBC,1.097,53.5,35.7,20,33.8,39.38742611,7.001795332,52.94825511,1.4,0.966,47,27,19.7,33.9,38.79120879,7.80141844,51.20481928
UMKC,1.076,51.3,26.4,14.8,27,35.53477499,11.18077325,40.06069803,0.67,1.066,52.9,26.8,16.9,25.6,40.48507463,8.522212149,47.33044733
UMass Lowell,0.964,43.4,35.9,19.9,33.3,31.023281,12.63330599,51.30533485,1.01,1.061,50.1,29.5,17.3,39.4,32.61470426,7.770800628,46.32843792
UNC Asheville,1.039,53.6,25.7,20.1,40.9,37.25156161,10.10638298,50,0.89,1.003,48.3,29.1,17.8,26.8,33.76950176,11.22171946,46.20770128
UNC Greensboro,1.038,50.6,29.2,17.8,32.4,39.09685086,7.418699187,55.8423913,1.14,0.969,47.8,26.5,19.3,31.4,41.18350269,7.024390244,47.45269287
UNC Wilmington,1.018,48.9,27.8,18.6,39.8,34.02489627,7.532956685,43.8957476,0.81,0.987,49.2,28,20.7,37.6,36.36908328,8.265947889,39.78052126
UNLV,1.03,49.2,27.9,17.5,35.5,40.03313087,11.88222923,49.41329857,1,1.003,52.4,31,24.7,31,44.54810496,8.655616943,57.76315789
USC,1.053,51.3,28.9,18.1,33.2,32.99627461,13.4244373,51.98598131,1.09,0.981,45.4,32.3,17.8,30.2,37.07637835,7.78395552,55.79896907
USC Upstate,0.982,50.7,24.7,19.2,31.4,34.76420798,13.243762,45.35666218,0.86,1.038,50.1,32.2,20.5,42.8,35.91635916,7.50695088,46.77871148
UT Arlington,0.944,45.9,32.7,21.1,29.7,34.71882641,8.263598326,55.60606061,0.9,1.053,51.9,30.8,20.1,39.5,37.84135241,8.801498127,54.92753623
UT Rio Grande Valley,1.011,51.2,29,22.2,45.9,34.94897959,7.540394973,55.2742616,0.85,1.092,52,29.5,16.9,38.9,34.81568169,10,61.27388535
UTEP,1.027,49,30.8,17.9,29.2,29.95755003,7.616221563,47.26027397,0.72,0.956,45,27.4,15.2,24.4,37.3605948,9.177489177,43.92265193
UTSA,1.115,55.5,27.4,17.6,34.9,38.5840708,5.662020906,44.44444444,0.75,1.01,48.1,24.5,15.7,30.4,37.77777778,13.73679155,51.30331754
Utah,1.044,53.2,28.7,21.4,44.8,37.6012966,10.33653846,58.40707965,1.19,1.06,53.8,26.8,20,35,35.13513514,10.38961039,53.53403141
Utah St.,1.046,51.7,28.9,19.3,35.6,42.01988488,8.636363636,61.67400881,1.35,0.956,44,29.1,16.3,28.7,34.09885172,7.490974729,47.16312057
Utah Tech,0.963,48.6,33.3,22.9,38.8,41.66666667,5.78898226,51.1659808,0.82,1.001,51.1,29.7,22.9,37.3,36.5521327,10.12793177,53.14070352
Utah Valley,0.988,47.4,28.5,19.5,37.4,32.8164082,14.55399061,56.6017316,1.1,1.114,52.5,31.2,15.4,30.6,32.07289294,7.743857036,44.6907818
VCU,0.972,49,22.6,18.2,27.9,32.67273701,12.75917065,52.77777778,0.97,1.058,51.5,24.7,15.7,31.8,34.10404624,9.864757359,51.33079848
VMI,1.066,49.6,30.8,16,31.6,44.09356725,4.122497055,43.89534884,0.8,1.06,48.6,31.9,15.3,31.2,50.05882353,12.76150628,60.3960396
Valparaiso,1.037,52,28.9,19.6,41.6,36.2464986,7.263064659,53.71794872,1.06,0.924,46.9,30,23.9,31.1,37.79614325,6.590509666,52.56723716
Vanderbilt,1.088,54.8,19.2,14.3,28.1,42.15820759,11.83098592,46.12903226,1.07,1.013,51,22.3,16.6,26.9,36.00721046,7.747035573,49.47589099
Vermont,1.069,51.5,22.6,15.5,30,43.36428181,8.34049871,52.4970964,1.46,1.037,50.7,25.2,17.3,27.7,36.13399231,8.389585342,45.08599509
Villanova,1.082,51.2,25.6,13.6,34.7,47.76038856,5.316223648,46.71623296,1.1,0.965,48.3,24.9,19.5,26.3,41.6889364,10.74380165,60.09791922
Virginia,1.108,54.1,25.9,14.7,25.9,35.63739377,13.78640777,65.44766709,1.84,1.045,50.6,27.7,16.3,25.1,40.01164822,10.82746479,52.80898876
Virginia Tech,0.975,47.8,28.9,19.3,21,39.65691221,8.307453416,56.7132116,1.57,1.163,56.9,27.3,14.6,28.1,35.6,9.949832776,47.53363229
Wagner,0.965,44.9,34.4,19.1,25.2,35.34540577,5.534105534,50.84745763,0.95,0.974,49.1,24.8,20.9,47,36.72638436,10.6846473,53.94736842
Wake Forest,1.084,54.2,24.8,17.1,32.1,45.36406496,7.371007371,50.56947608,1.11,1.046,51.6,26.6,17.3,26.7,38.64321608,11.88878236,46.30044843
Washington,0.986,48.8,26.4,19.9,31.7,36.64289632,13.04347826,46.69211196,0.82,1.004,47.1,34.6,18.4,25.4,36.93918245,9.87012987,60.23952096
Washington St.,1.054,50.4,31.5,18.5,28.2,43.35591454,7.311320755,49.56949569,0.98,1.011,49.8,26.1,16.6,28.4,32.16,8.555657774,48.20574163
Weber St.,0.992,50.8,21,19.2,33.7,37.38375697,4.428424305,44.79889043,0.82,1.016,52.8,22.4,19.3,31.7,40.97264438,9.405940594,58.46774194
West Virginia,1.089,51.5,34,18.5,39.4,36.25192012,8.630705394,50,1,1.018,50.9,29.3,20.9,38.7,35.11039311,6.586345382,50.35971223
Western Carolina,1.024,49.1,25.5,15.7,33.8,41.37353434,5.891848265,48.94179894,1.1,1.056,51,25.2,15.6,34.1,30.51037577,10.47619048,42.54278729
Western Illinois,1.04,50.1,27.1,15.2,31.4,37.5,8.707865169,51.94805195,1.29,1.086,53.4,26.5,16.4,27.4,32.19047619,8.571428571,39.07284768
Western Kentucky,1.017,49.6,25.9,17.1,32.3,36.21468927,14.27247451,48.828125,1.04,1.048,50.7,31,18,25.6,42.08266237,6.377325066,51.74563591
Western Michigan,1.02,48.8,33,19.2,27.8,42.02094886,6.101344364,49.19472914,0.94,1.147,54.8,27.6,14.4,33.1,39.75077882,8.926673751,55.24934383
Wichita St.,1.027,50.7,29.1,18.2,30.8,37.24850462,11.28608924,51.5114873,1.06,0.993,47.5,28.2,16.9,25.9,40.80787157,9.272097054,56.76020408
William & Mary,0.997,49.4,27.4,18.8,29.2,37.77253978,5.429864253,49.72299169,0.94,1.1,53.9,29.9,17,27.4,36.85714286,14.86742424,48.61278649
Winthrop,1.078,55.1,25.9,20.6,41.6,44.94818653,8.080808081,46.66666667,0.81,1.123,54.8,34.2,17.4,31,38.01935117,14.11764706,50.29655991
Wisconsin,1.01,48.3,22.6,13.4,25,40.24937656,4.388185654,48.85679904,1.34,0.985,50.2,24.9,18.3,27.5,36.66488509,10.43405676,43.08062575
Wofford,1.083,52.4,28.6,16.3,30,39.13551402,5.78680203,45.24714829,1.09,1.109,54.8,28.7,16.6,26.4,42.79907085,9.404990403,46.12546125
Wright St.,1.069,53.5,26.2,17.3,24,28.15234174,7.367549669,48.09322034,1.15,1.016,50.3,26.6,17.2,27.6,37.79608651,6.375358166,41.14219114
Wyoming,1.026,51.6,24.2,18.2,33.4,45.48848787,7.312252964,46.08819346,0.9,1.091,53.4,25.3,16.4,28.9,39.4374626,10.50228311,49.22279793
Xavier,1.119,55.2,30.7,17.2,31.4,31.16134752,7.894736842,63.57078449,1.54,1.028,50.3,25,16.2,27,33.47921225,9.207984546,53.55731225
Yale,1.088,52.8,28,16.4,30.6,34.74784748,11.67400881,49.86807388,1.21,0.948,47,23.2,18.4,33.9,40.57591623,7.54005655,50.89141005
Youngstown St.,1.151,54.7,30.7,15.7,29.4,34.96143959,6.875,49.89361702,1.34,1.043,51.3,29.2,17.9,26.2,33.50649351,6.324110672,48.57468643
