Team,Offense,Defense,Wins,Poss,Color,Text
Drake,104,99.1,13,66.3,#003B73,white
Bradley,106.8,98.5,14,65.3,#A50000,white
Indiana State,100.9,102.9,9,70.3,#0142BC,white
Northern Iowa,107.1,101.2,13,67.6,#500778,#FFB500
Missouri State,97.4,104.1,6,62.1,#720000,white
Southern Illinois,103,100.1,11,63.7,#5E0009,white
Murray State,107.1,104.2,11,66.6,#FFCC00,blue
UIC,104.2,104.4,10,68.9,#AC1E2D,#091F40
Illinois State,102.8,104.7,9,64.8,#AC1E2D,white
Evansville,100.6,105.4,7,69.5,#52237F,#F36F21
Valparaiso,101.6,107.8,7,67.8,#381E0E,#FFCC00