Num,url,Player,TwoM,TwoA,TwoPer,ThreeM,ThreeA,ThreePer,Dreb,Oreb,Ast,Blk,Stl,Foul,DrawFoul,Tov,Deflects,Points,Poss,Week,Date
0,"<img src=""https://belmontbruins.com/images/2023/9/15/MILLER_WIN_websitehs.jpg?width=300"" height=""52""></img>",Win Miller,1,2,0.5,1,2,0.5,,,1,,,,,1,1,5,,0,0
1,"<img src=""https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Flibertyuni.sidearmsports.com%2Fimages%2F2023%2F9%2F27%2F24_MBB_Brody_Peebles_VgMtc.jpg&width=180&height=270&type=webp"" height=""52""></img>",Brody Peebles,6,9,0.666666667,2,3,0.666666667,1,,5,,,,,1,1,18,,0,0
2,"<img src=""https://furmanpaladins.com/images/2022/10/17/WhittC_23mug_tnqAD.jpg?width=80&quality=90"" height=""52""></img>",Carter Whitt,,,,,,,,,,,,,,,,0,,0,0
3,"<img src=""https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fgotigersgo.com%2Fimages%2F2023%2F10%2F5%2FPIERRE_JONATHAN.jpg&width=180&height=270&type=webp"" height=""52""></img>",Jonathan Pierre,,1,0,,3,0,6,,3,,,,,,,0,,0,0
4,"<img src=""https://d2hf77c6bcz88c.cloudfront.net/images/2023/8/2/230719_UR_MBB_Noyes_Aidan.jpg?width=300"" height=""52""></img>",Aidan Noyes,4,5,0.8,2,4,0.5,3,,,,,,,1,1,14,,0,0
5,"<img src=""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPJ41ciKbgnj1_XlPwvGckDi1hCKLcMGu5NiUwxc6VaLc9wGHvtiT2G2pq5wGkdqgcOYk&usqp=CAU"" height=""52""></img>",Eoin Dillon,1,1,1,,4,0,5,1,2,,1,,,,2,2,,0,0
7,"<img src=""https://belmontbruins.com/images/2023/9/15/WALKER_ISAIAH_websitehs.jpg?width=300"" height=""52""></img>",Isaiah Walker,1,5,0.2,,2,0,2,1,2,,1,1,,1,,2,,0,0
8,"<img src=""https://s3media.247sports.com/Uploads/Assets/247/433/9433247.jpg?fit=crop&width=100&fit=crop"" height=""52""></img>",Tyler Lundblade,2,2,1,,4,0,4,,2,,,,,2,1,4,,0,0
10,"<img src=""https://s3media.247sports.com/Uploads/Assets/360/203/11203360.jpeg?fit=crop&width=100&fit=crop"" height=""52""></img>",Jabez Jenkins,2,3,0.666666667,1,2,0.05,12,2,,1,,,,,1,7,,0,0
11,"<img src=""https://belmontbruins.com/images/2023/9/15/SCHARNOWSKI_DREW_websitehs.jpg?width=300"" height=""52""></img>",Drew Scharnowski,3,4,0.75,,,,4,,,,,1,1,2,,6,,0,0
13,"<img src=""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4xp1IeRijmg-y7DIJ7tYuNI_rfNz8sO0Qh1QNh6vnUQ&s"" height=""52""></img>",Cooper Haynes,2,2,1,4,7,0.571428571,2,,1,,,,,1,,16,,0,0
14,"<img src=""https://belmontbruins.com/images/2023/9/15/ORME_SAM_websitehs.jpg?width=300"" height=""52""></img>",Sam Orme,1,2,0.5,1,3,0.333333333,3,1,1,,,1,1,,1,5,,0,0
20,"<img src=""https://belmontbruins.com/images/2023/9/15/BRACCIA_AIDAN_websitehs.jpg?width=300"" height=""52""></img>",Aidan Braccia,,1,0,2,4,0.5,1,,3,,1,,,1,,6,,0,0
21,"<img src=""https://belmontbruins.com/images/2023/9/15/ROGERS_BRIGHAM_websitehs.jpg?width=300"" height=""52""></img>",Brigham Rogers,,3,0,,,,2,,2,,,,2,,,0,,0,0
23,"<img src=""https://belmontbruins.com/images/2023/9/15/DYKSTRA_JAKE_websitehs.jpg?width=300"" height=""52""></img>",Jake Dykstra,,,,2,5,0.4,2,,,1,1,,,,,6,,0,0
24,"<img src=""https://belmontbruins.com/images/2023/9/15/ROBBINS_KEITH_websitehs.jpg?width=300"" height=""52""></img>",Keith Robbins,,,,1,1,1,,,,,,,,1,,3,,0,0