Player,OBPR,DBPR,BPR,BROBPM,BRDBPM
Isaiah Walker,0.9,-0.36,0.53,-0.9,0.2
Sam Orme,-0.5,-0.5,-1,0,0
Jake Dykstra,-1.47,1.28,-0.19,-5.8,0.1
Drew Scharnowski,-0.5,-0.5,-1,0,0
Brigham Rogers,-0.25,-0.38,-0.63,-2.2,1.3
Aidan Braccia,-0.8,-0.44,-1.24,-6,-2
Win Miller,0.68,-2.77,-2.09,-5.9,-2.4
Keith Robbins,-2.27,-1.13,-3.4,2.3,1.8
Brody Peebles,1.2,-0.95,0.25,0.5,-2.5
Carter Whitt,-0.14,-0.04,-0.18,-1.7,0.6
Jonathan Pierre,-0.52,-0.07,-0.6,-2.1,0
Aidan Noyes,1.02,1.45,2.46,-0.2,0.8
Cooper Haynes,-0.5,-0.5,-1,-2,-2
Eoin Dillon,-0.5,-0.5,-1,-2,-2
Jabez Jenkins,-0.5,-0.5,-1,-2,-2
Tyler Lundblade,0,0,0,0,0